City Name,Country Code,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Coahuayana Viejo,MX,18.7333,-103.6833,21.85,86,90,0.76,18/04/2022
Ahraura,IN,25.0167,83.0167,40.52,5,0,3.35,18/04/2022
New Norfolk,AU,-42.7826,147.0587,16.07,46,100,0.89,18/04/2022
Esmeraldas,BR,-19.7625,-44.3139,18.48,81,98,1.97,18/04/2022
Ishigaki,JP,24.3448,124.1572,22.35,70,78,1.93,18/04/2022
Birao,CF,10.2849,22.7882,27.31,56,100,1.61,18/04/2022
Saint-Philippe,RE,-21.3585,55.7679,25.12,88,24,4.92,18/04/2022
Cherskiy,RU,68.75,161.3,-8.27,87,100,2.13,18/04/2022
Port Alfred,ZA,-33.5906,26.891,15.1,96,73,1.79,18/04/2022
Chon Buri,TH,13.3,101.3,32.68,44,100,2.46,18/04/2022
Butaritari,KI,3.0707,172.7902,27.64,72,23,5.28,18/04/2022
Opuwo,NA,-18.0607,13.84,19.81,40,45,2.36,18/04/2022
Hong Kong,HK,22.2855,114.1577,23.87,75,95,1.79,18/04/2022
Caravelas,BR,-17.7125,-39.2481,24.61,67,78,4.45,18/04/2022
Calvinia,ZA,-31.4707,19.776,14.49,52,44,3.26,18/04/2022
Manjacaze,MZ,-24.7117,33.8828,20.2,96,100,3.6,18/04/2022
Khatanga,RU,71.9667,102.5,-11.84,89,96,7.15,18/04/2022
Chapais,CA,49.7834,-74.8492,-4.12,95,56,3.56,18/04/2022
Pochutla,MX,15.7432,-96.4661,27.12,72,11,2.87,18/04/2022
Port Elizabeth,ZA,-33.918,25.5701,16.72,87,99,4.81,18/04/2022
Hilo,US,19.7297,-155.09,24.6,90,75,3.6,18/04/2022
Atuona,PF,-9.8,-139.0333,26.36,80,14,8,18/04/2022
Akhisar,TR,38.9185,27.8401,10.84,93,75,0.51,18/04/2022
Oskemen,KZ,49.9565,82.6119,18.98,26,47,1,18/04/2022
Thohoyandou,ZA,-22.9456,30.485,15.39,93,100,0.72,18/04/2022
Harper,LR,4.375,-7.7169,25.06,88,81,0.12,18/04/2022
Provideniya,RU,64.3833,-173.3,0.2,93,100,9,18/04/2022
Upernavik,GL,72.7868,-56.1549,-20.08,90,100,5.05,18/04/2022
Abapó,BO,-18.8333,-63.4667,12.93,72,22,1.23,18/04/2022
Namalenga,TZ,-10.95,39.1,21.05,99,33,1.19,18/04/2022
Punta Arenas,CL,-53.15,-70.9167,5.06,87,75,1.54,18/04/2022
São Luiz Gonzaga,BR,-28.4083,-54.9608,13.59,88,29,2.61,18/04/2022
Albany,US,42.6001,-73.9662,3.58,62,4,2.58,18/04/2022
Puerto Ayora,EC,-0.7393,-90.3518,23.64,94,100,2.87,18/04/2022
Lensk,RU,60.7253,114.9278,5.02,79,98,6.46,18/04/2022
Forsytheganj,BY,52.6333,29.7333,0.66,97,100,3.83,18/04/2022
Bredasdorp,ZA,-34.5322,20.0403,16.18,89,100,2.27,18/04/2022
Yulara,AU,-25.2406,130.9889,27.91,24,8,4.12,18/04/2022
Cuencamé de Ceniceros,MX,24.8711,-103.6964,23.4,13,74,2.1,18/04/2022
Thompson,CA,55.7435,-97.8558,-8.45,93,100,0.54,18/04/2022
Los Llanos de Aridane,ES,28.6585,-17.9182,20.86,43,75,5.14,18/04/2022
Madang,PG,-5.2246,145.7966,28.55,79,90,2.42,18/04/2022
Paamiut,GL,61.994,-49.6678,-3.88,88,95,1.21,18/04/2022
Poum,NC,-20.2333,164.0167,25.26,71,100,3.07,18/04/2022
Port Macquarie,AU,-31.4333,152.9167,24.94,62,8,3.35,18/04/2022
Saint George,US,37.1041,-113.5841,22.57,15,0,2.57,18/04/2022
Talnakh,RU,69.4865,88.3972,-13.77,90,100,2.42,18/04/2022
Avarua,CK,-21.2078,-159.775,28.03,69,75,1.54,18/04/2022
Lebu,CL,-37.6167,-73.65,11.01,90,26,2.81,18/04/2022
Mareeba,AU,-17,145.4333,26.4,85,79,3.36,18/04/2022
Oakdale,US,44.963,-92.9649,1.68,94,100,3.6,18/04/2022
Norman Wells,CA,65.282,-126.8329,-11.58,93,96,1.61,18/04/2022
Chokurdakh,RU,70.6333,147.9167,-9.16,88,47,2.17,18/04/2022
Anadyr,RU,64.75,177.4833,0.28,86,75,8,18/04/2022
Griffith,US,41.5284,-87.4237,4.01,81,100,4.12,18/04/2022
Rio Branco,BR,-9.9747,-67.81,24.34,94,0,1.54,18/04/2022
Belyy Yar,RU,53.6039,91.3903,16.59,30,0,3,18/04/2022
Wellington,NZ,-41.2866,174.7756,18.09,65,59,5.14,18/04/2022
Kirakira,SB,-10.4544,161.9205,29.21,69,87,3.28,18/04/2022
Saint Paul Harbor,US,57.79,-152.4072,3.73,75,100,6.69,18/04/2022
Hermanus,ZA,-34.4187,19.2345,15.87,86,92,4.92,18/04/2022
Hithadhoo,MV,-0.6,73.0833,28.53,74,26,4.34,18/04/2022
Khuzhir,RU,53.1939,107.3397,6.68,68,90,4.94,18/04/2022
Laguna,US,38.421,-121.4238,15.08,51,0,4.63,18/04/2022
Chui,UY,-33.6971,-53.4616,16.23,86,100,2.76,18/04/2022
Artyom,AZ,40.4723,50.333,13.08,83,13,6.89,18/04/2022
Yar-Sale,RU,66.8333,70.8333,-7.15,85,100,5,18/04/2022
Ancud,CL,-41.8697,-73.8203,13.46,90,92,3,18/04/2022
Cockburn Town,TC,21.4612,-71.1419,25.45,84,86,10.59,18/04/2022
Astoria,US,46.1879,-123.8313,10.33,60,100,2.57,18/04/2022
Kulhudhuffushi,MV,6.6221,73.07,28.79,74,100,3.19,18/04/2022
Esperance,AU,-33.8667,121.9,18.15,61,44,4.57,18/04/2022
Barrow,US,71.2906,-156.7887,-13.99,78,0,4.63,18/04/2022
Lagos,NG,6.5833,3.75,23.52,97,100,1.61,18/04/2022
Qurayyat,SA,31.3318,37.3428,20.02,15,1,5.86,18/04/2022
‘Ewa Beach,US,21.3156,-158.0072,25.97,64,75,7.72,18/04/2022
East London,ZA,-33.0153,27.9116,17.65,80,36,6.03,18/04/2022
Ribeira Grande,PT,38.5167,-28.7,14.49,66,51,9.19,18/04/2022
Kapaa,US,22.0752,-159.319,26.99,77,40,9.26,18/04/2022
Port Keats,AU,-14.25,129.55,32.42,54,15,3.29,18/04/2022
Shache,CN,38.4167,77.2406,19.08,13,2,1.99,18/04/2022
Hoquiam,US,46.9809,-123.8893,10.16,69,100,0.45,18/04/2022
Bruneck,IT,46.7958,11.9364,2.03,66,7,0.76,18/04/2022
São Filipe,CV,14.8961,-24.4956,21.56,77,23,1.39,18/04/2022
Norden,DE,53.6,7.2,6.64,75,0,5.03,18/04/2022
Cururupu,BR,-1.8283,-44.8683,23.53,96,100,0.37,18/04/2022
Dingle,PH,10.9995,122.6711,30.36,62,46,6.02,18/04/2022
Yumen,CN,40.2833,97.2,13.46,17,0,5.23,18/04/2022
Bethel,US,41.3712,-73.414,4.41,64,0,0,18/04/2022
Batagay,RU,67.6333,134.6333,-3.94,80,10,4.44,18/04/2022
Kavieng,PG,-2.5744,150.7967,30.03,63,36,5.84,18/04/2022
Raudeberg,NO,61.9875,5.1352,6.59,77,96,3.36,18/04/2022
Meulaboh,ID,4.1363,96.1285,29.29,72,100,1.66,18/04/2022
Duekoué,CI,6.7472,-7.3496,22.92,94,100,0.53,18/04/2022
Cuervos,MX,32.6314,-114.8556,27.51,14,1,2.85,18/04/2022
Kaitangata,NZ,-46.2817,169.8464,14.47,62,16,1.74,18/04/2022
Karratha,AU,-20.7377,116.8463,34.97,26,7,9.23,18/04/2022
Ostrovnoy,RU,68.0531,39.5131,0.84,92,100,2.9,18/04/2022
Yellowknife,CA,62.456,-114.3525,-16.14,94,94,2.42,18/04/2022
Kampot,KH,10.6167,104.1833,31.03,59,99,3.24,18/04/2022
Bemidji,US,47.4736,-94.8803,0.03,98,100,3.09,18/04/2022
Yerbogachën,RU,61.2767,108.0108,1.38,77,92,6.2,18/04/2022
Camaná,PE,-16.6228,-72.7111,19.17,81,58,3.77,18/04/2022
Tiksi,RU,71.6872,128.8694,-12.86,93,95,1.74,18/04/2022
Ilulissat,GL,69.2167,-51.1,-11.99,72,20,2.06,18/04/2022
Yelanskiy,RU,56.8419,62.5014,1.79,90,100,3,18/04/2022
Egvekinot,RU,66.3167,-179.1667,-3.03,96,100,4.4,18/04/2022
Ambunti,PG,-4.2365,142.8448,30.38,66,99,1.06,18/04/2022
Itarema,BR,-2.9248,-39.9167,24.99,88,70,2.13,18/04/2022
Qasigiannguit,GL,68.8193,-51.1922,-11.86,92,100,2.51,18/04/2022
Kindu,CD,-2.95,25.95,20.31,99,62,0.42,18/04/2022
Beyneu,KZ,45.3167,55.2,18.33,32,0,2.7,18/04/2022
Te Anau,NZ,-45.4167,167.7167,17.02,58,52,2.01,18/04/2022
Chicama,PE,-7.8447,-79.1469,16.3,84,41,2.3,18/04/2022
West Bay,KY,19.3667,-81.4167,26.67,82,0,1.82,18/04/2022
Pevek,RU,69.7008,170.3133,-10.47,85,42,1.6,18/04/2022
Ponta do Sol,PT,32.6667,-17.1,18.4,57,53,6,18/04/2022
Ternate,ID,0.8,127.4,29.31,69,59,1.22,18/04/2022
Padang,ID,-0.9492,100.3543,25.03,73,99,0.89,18/04/2022
Castro,BR,-24.7911,-50.0119,10.01,98,17,2.19,18/04/2022
Liuli,TZ,-11.0833,34.6333,23.71,79,95,1.38,18/04/2022
Brae,GB,60.3964,-1.353,7.65,83,92,10.61,18/04/2022
Tasiilaq,GL,65.6145,-37.6368,-0.2,95,100,3.59,18/04/2022
Terrace,CA,54.5163,-128.6035,5,58,13,0.81,18/04/2022
Jumla,NP,29.2747,82.1838,20.57,26,61,1.62,18/04/2022
Ivanovka,KG,42.8878,75.085,25.39,23,24,1.97,18/04/2022
Pontes e Lacerda,BR,-15.2261,-59.3353,21.02,85,8,1.1,18/04/2022
Payson,US,40.0444,-111.7321,11.81,53,0,4.63,18/04/2022
Mersing,MY,2.4312,103.8405,30.71,65,98,3.66,18/04/2022
Upata,VE,8.0086,-62.3989,22.95,74,58,3.22,18/04/2022
Lázaro Cárdenas,MX,17.9583,-102.2,22.95,74,84,1.42,18/04/2022
Bereda,ES,43.2686,-7.5406,10.79,100,100,1.78,18/04/2022
Mineros,BO,-17.1167,-63.2333,18.99,50,48,2.62,18/04/2022
Araguaína,BR,-7.1911,-48.2072,23.18,93,100,0.94,18/04/2022
Mar del Plata,AR,-38.0023,-57.5575,16.04,93,0,5.36,18/04/2022
Vostok,RU,46.4856,135.8833,4.72,48,99,5.4,18/04/2022
São João da Barra,BR,-21.6403,-41.0511,19.93,81,2,4.36,18/04/2022
Nantucket,US,41.2835,-70.0995,6.75,61,0,4.12,18/04/2022
Price,US,39.5994,-110.8107,11.73,29,0,4.12,18/04/2022
Sioux Lookout,CA,50.1001,-91.917,-2.91,98,100,1.8,18/04/2022
Camacha,PT,33.0833,-16.3333,14.68,77,40,8.75,18/04/2022
Bāfq,IR,31.6128,55.4107,17.66,36,99,4.98,18/04/2022
Oranjemund,NA,-28.55,16.4333,15.64,68,0,3.06,18/04/2022
Gewanē,ET,10.1664,40.6453,27.92,48,8,1.81,18/04/2022
Basco,PH,20.4487,121.9702,25.32,69,97,6.23,18/04/2022
Olafsvik,IS,64.8945,-23.7142,5.52,72,99,4.76,18/04/2022
Vardø,NO,70.3705,31.1107,4.22,91,100,4.79,18/04/2022
Sinnamary,GF,5.3833,-52.95,25.11,86,77,3.75,18/04/2022
Ormara,PK,25.2088,64.6357,27.16,83,6,2.41,18/04/2022
Pueblo Bello,CO,8.2041,-76.526,23.48,95,95,0.99,18/04/2022
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,4.33,38,0,7,18/04/2022
Hastings,GB,50.8552,0.5729,9.58,76,1,2.76,18/04/2022
Vieira de Leiria,PT,39.8695,-8.9324,15.73,86,73,7.89,18/04/2022
Iqaluit,CA,63.7506,-68.5145,-28.36,96,93,1.83,18/04/2022
Berlevåg,NO,70.8578,29.0864,3.89,93,100,6.73,18/04/2022
Zliten,LY,32.4674,14.5687,15.79,76,56,8.45,18/04/2022
Birin,NP,26.8865,88.0718,22.51,46,0,3.09,18/04/2022
Severo-Kuril'sk,RU,50.6789,156.125,-0.13,85,93,3.63,18/04/2022
Āsosa,ET,10.0667,34.5333,18.56,76,24,2.06,18/04/2022
Rafaela,AR,-31.2503,-61.4867,15.55,51,0,2.06,18/04/2022
Tomatlán,MX,19.9333,-105.25,20.48,86,97,0.91,18/04/2022
Grindavik,IS,63.8424,-22.4338,4.26,70,75,2.06,18/04/2022
Bétaré Oya,CM,5.6,14.0833,20.38,95,100,1.09,18/04/2022
Severobaykal'sk,RU,55.65,109.3167,1.51,99,100,0.59,18/04/2022
Husavik,IS,66.0449,-17.3389,3.48,98,100,0.7,18/04/2022
Hamina,FI,60.5697,27.1979,2.6,95,79,2.14,18/04/2022
Cayenne,GF,4.9333,-52.3333,27.27,1,20,1.03,18/04/2022
Half Moon Bay,US,37.4636,-122.4286,11.6,76,0,6.17,18/04/2022
Srīvardhan,IN,18.0333,73.0167,29.48,58,0,1.5,18/04/2022
Lesnoye,RU,58.2841,35.5158,0.97,84,84,1.16,18/04/2022
Torbay,CA,47.6666,-52.7314,8.75,92,75,9.77,18/04/2022
County Wicklow,IE,53,-6.4167,4.47,89,97,1.81,18/04/2022
Alghero,IT,40.5589,8.3181,3.05,93,0,1.03,18/04/2022
Kristianstad,SE,56.0313,14.1524,1.64,88,75,1.54,18/04/2022
Lampazos de Naranjo,MX,27.0167,-100.5167,25.69,58,57,3.66,18/04/2022
Usinsk,RU,65.9939,57.5281,-0.99,95,100,6.2,18/04/2022
Erenhot,CN,43.6475,111.9767,13.64,17,0,4.33,18/04/2022
Pahrump,US,36.2083,-115.9839,21.81,13,56,1.34,18/04/2022
Ponta Delgada,PT,37.7333,-25.6667,14.4,62,20,5.66,18/04/2022
Arraial do Cabo,BR,-22.9661,-42.0278,21.79,72,19,1.78,18/04/2022
Forestville,US,38.8451,-76.875,8.47,47,0,6.69,18/04/2022
Longyearbyen,SJ,78.2186,15.6401,-5.89,94,100,2.07,18/04/2022
Leningradskiy,RU,69.3833,178.4167,-3.89,92,86,3.42,18/04/2022
Chara,RU,56.9064,118.2631,4.43,100,99,2.81,18/04/2022
Tall Kayf,TR,37.0833,41.0667,14.19,38,85,1.65,18/04/2022
Carnarvon,AU,-24.8667,113.6333,25.04,61,91,5.14,18/04/2022
Tura,IN,25.5198,90.2201,28.23,64,35,2.38,18/04/2022
Mondeville,FR,49.175,-0.3224,9.88,93,75,1.03,18/04/2022
Kutum,SD,14.2,24.6667,23.67,19,83,2.41,18/04/2022
Kruisfontein,ZA,-34.0033,24.7314,15.49,89,100,1.49,18/04/2022
Nemuro,JP,43.3236,145.575,6.87,71,100,7.07,18/04/2022
Larnaca,CY,34.9167,33.6292,21.71,59,0,4.12,18/04/2022
Talas,TR,38.6908,35.5538,18.37,22,75,6.69,18/04/2022
Vao,NC,-22.6667,167.4833,25.09,69,55,2.26,18/04/2022
Port Lincoln,AU,-34.7333,135.8667,16.75,65,99,3.69,18/04/2022
Bonavista,CA,48.6499,-53.1147,4.4,96,100,7.79,18/04/2022
Plymouth,US,41.8334,-70.8328,6.48,70,0,2.57,18/04/2022
Jaciara,BR,-15.9653,-54.9683,19.28,84,77,1.17,18/04/2022
Sumter,US,28.7086,-82.0831,22.97,81,18,1.92,18/04/2022
Portland,US,45.5234,-122.6762,12.32,56,100,2.57,18/04/2022
Florianópolis,BR,-27.6146,-48.5012,18,87,20,2.57,18/04/2022
Lorengau,PG,-2.0226,147.2712,29.06,75,66,2.96,18/04/2022
Kumluca,TR,36.3703,30.2869,17.63,58,0,1.56,18/04/2022
San Policarpo,PH,12.1791,125.5072,28.97,62,99,4.56,18/04/2022
Snezhnogorsk,RU,69.1933,33.2531,2.66,98,100,2.67,18/04/2022
Celestún,MX,20.8667,-90.4,25.29,76,0,6.42,18/04/2022
Buraidah,SA,26.326,43.975,20.42,16,28,3.6,18/04/2022
Qaqortoq,GL,60.7167,-46.0333,-3.72,87,28,0.49,18/04/2022
Kifrī,IQ,34.6959,44.9661,20.49,22,5,2.82,18/04/2022
Tegul'det,RU,57.3064,88.1667,3.16,60,66,4.02,18/04/2022
Saint-Raymond,CA,45.467,-73.6095,3.36,61,4,2.86,18/04/2022
San Patricio,US,28.017,-97.5169,24.93,90,37,2.8,18/04/2022
Vista Hermosa,MX,19.5167,-99.2167,24.75,23,75,3.6,18/04/2022
Santa Marta,CO,11.2408,-74.199,29.03,77,20,1.34,18/04/2022
Bengkulu,ID,-3.8004,102.2655,28.47,77,76,2.45,18/04/2022
Faanui,PF,-16.4833,-151.75,27.15,74,12,4.79,18/04/2022
Pangnirtung,CA,66.1451,-65.7125,-22.75,100,100,1.41,18/04/2022
Narsaq,GL,60.9167,-46.05,0.12,90,40,0.72,18/04/2022
Broken Hill,AU,-31.95,141.4333,27.69,23,100,6.31,18/04/2022
Cairns,AU,-16.9167,145.7667,28.97,70,100,5.14,18/04/2022
Jacmel,HT,18.2342,-72.5347,24.16,78,100,1.69,18/04/2022
Cap Malheureux,MU,-19.9842,57.6142,25.82,89,15,1.34,18/04/2022
Sattahip,TH,12.6664,100.9007,28.88,89,75,6.17,18/04/2022
Guerrero Negro,MX,27.9769,-114.0611,15.02,87,57,6.69,18/04/2022
Torres Novas,PT,39.4811,-8.5395,14.69,96,10,3.81,18/04/2022
Geraldton,AU,-28.7667,114.6,24.23,38,0,6.69,18/04/2022
Fazendas de Almeirim,PT,39.1755,-8.5693,14.05,93,7,2.32,18/04/2022
Conceição do Araguaia,BR,-8.2578,-49.2647,23.05,95,100,0.69,18/04/2022
Broome,US,42.2506,-75.833,1.41,65,0,1.34,18/04/2022
Spencer,US,43.1414,-95.1444,-0.23,91,100,4.99,18/04/2022
Vzmorye,RU,54.6961,20.2361,1.67,78,22,2.32,18/04/2022
Port Hedland,AU,-20.3167,118.5667,37.03,16,13,8.23,18/04/2022
Beruwala,LK,6.4788,79.9828,29.69,68,95,3.14,18/04/2022
Tambo Grande,PE,-4.9269,-80.3447,22.26,66,72,3.52,18/04/2022
Charters Towers,AU,-20.1,146.2667,29.98,33,0,3.63,18/04/2022
Ouésso,CG,1.6136,16.0517,21.56,99,100,1.02,18/04/2022
Odienné,CI,9.51,-7.5692,24.09,77,100,1.93,18/04/2022
Aklavik,CA,68.2191,-135.0107,-10.36,91,92,3.77,18/04/2022
Anamur,TR,36.0751,32.8369,21.83,36,94,5.1,18/04/2022
Anloga,GH,5.7947,0.8973,27.9,78,100,3.22,18/04/2022
São Paulo de Olivença,BR,-3.3783,-68.8725,23.62,97,99,0.94,18/04/2022
Watsa,CD,3.0372,29.5355,18.04,80,93,1.02,18/04/2022
Isangel,VU,-19.55,169.2667,27.74,75,100,2.41,18/04/2022
Marawi,PH,7.9986,124.2928,26.9,67,93,2.83,18/04/2022
Tefé,BR,-3.3542,-64.7114,23.18,98,90,0.99,18/04/2022
Toguchin,RU,55.2353,84.3858,5.78,80,64,2.87,18/04/2022
Sobreira,PT,41.5237,-7.8023,8.3,80,0,2.54,18/04/2022
Sheridan,US,44.8333,-106.9173,0.51,62,100,0,18/04/2022
Ous,RU,60.9058,61.5186,0.43,75,56,3.1,18/04/2022
Madisonville,US,37.3281,-87.4989,9.56,82,100,1.34,18/04/2022
Kahului,US,20.8947,-156.47,25.01,72,40,8.23,18/04/2022
Elin Pelin,BG,42.6667,23.6,2.43,80,100,2.57,18/04/2022
Mackay,AU,-21.15,149.2,24.54,74,40,5.94,18/04/2022
Tambura,SS,5.6,27.4667,21.93,71,97,1.12,18/04/2022
Rosarito,MX,32.3333,-117.0333,16.38,75,0,4.91,18/04/2022
Kaeo,NZ,-35.1,173.7833,20.74,98,100,5.31,18/04/2022
Goderich,CA,43.7501,-81.7165,-0.61,65,1,4.65,18/04/2022
Samarai,PG,-10.6167,150.6667,27.37,81,100,4.67,18/04/2022
Mahibadhoo,MV,3.7833,72.9667,28.94,69,58,5.23,18/04/2022
Ilebo,CD,-4.3167,20.5833,21.58,94,94,0.46,18/04/2022
Vavuniya,LK,8.7514,80.4971,29.56,72,63,3.17,18/04/2022
Pangai,TO,-19.8,-174.35,28.05,75,71,5.12,18/04/2022
Lingao,CN,19.9103,109.6859,24.39,83,90,6.75,18/04/2022
Meybod,IR,32.2501,54.0166,14.01,26,30,7.01,18/04/2022
Diamantino,BR,-14.4086,-56.4461,21.66,85,96,1.54,18/04/2022
Amur Oblast,RU,54,128,2.45,43,100,5.22,18/04/2022
Pontypridd,GB,51.6021,-3.3421,8.58,88,81,1.34,18/04/2022
Bizhbulyak,RU,53.6967,54.2642,8.58,79,96,2.99,18/04/2022
Jizan,SA,17.3333,42.6667,28.33,61,3,0.18,18/04/2022
Victoria Point,AU,-27.5833,153.3,27.82,61,31,1.34,18/04/2022
Alekseyevsk,RU,57.8406,108.3492,8.71,79,100,6.89,18/04/2022
Batagay-Alyta,RU,67.8006,130.4114,-9.54,83,99,2.75,18/04/2022
Nouadhibou,MR,20.931,-17.0347,18.04,91,100,5.53,18/04/2022
Cidreira,BR,-30.1811,-50.2056,19.33,75,77,4.91,18/04/2022
Kalmunai,LK,7.4167,81.8167,29.51,70,63,0.93,18/04/2022
Nanortalik,GL,60.1432,-45.2371,-1.71,89,41,4.24,18/04/2022
Ahipara,NZ,-35.1667,173.1667,21.69,85,100,4.6,18/04/2022
Ukiah,US,39.1502,-123.2078,7.98,88,1,1.33,18/04/2022
Buala,SB,-8.145,159.5921,27.54,80,86,3.4,18/04/2022
Gwadar,PK,25.1216,62.3254,28.3,74,0,3.2,18/04/2022
Lüderitz,NA,-26.6481,15.1594,20.62,50,0,3.1,18/04/2022
Pinar del Río,CU,22.4175,-83.6981,23,79,32,1.57,18/04/2022
Ikom,NG,5.9667,8.7063,24.35,96,100,0.42,18/04/2022
Hamilton,US,39.1834,-84.5333,7.77,55,0,2.06,18/04/2022
Shahreza,IR,32.0339,51.8794,11.39,25,0,2.65,18/04/2022
Katsuura,JP,35.1333,140.3,17.01,71,100,5.06,18/04/2022
Sherbakul',RU,54.6316,72.3963,7.19,59,100,4.36,18/04/2022
West Wendover,US,40.7391,-114.0733,8.56,31,0,1.54,18/04/2022
The Valley,AI,18.217,-63.0578,25.92,78,93,10.78,18/04/2022
George Town,MY,5.4112,100.3354,31.96,70,20,3.09,18/04/2022
Zhaotong,CN,27.3167,103.7167,3.85,96,100,1.87,18/04/2022
Oga,IT,46.4631,10.347,2.67,82,4,1.39,18/04/2022
Choix,MX,26.7092,-108.3219,26.27,19,72,1.37,18/04/2022
Airai,TL,-8.9266,125.4092,22.56,71,100,0.73,18/04/2022
Bambanglipuro,ID,-7.95,110.2833,31.59,62,81,1.26,18/04/2022
Dalby,AU,-27.1833,151.2667,25.1,34,0,2.94,18/04/2022
Mildura,AU,-34.2,142.15,17.82,92,100,6.4,18/04/2022
Marsabit,KE,2.3284,37.9899,18.72,86,100,5.02,18/04/2022
Coyhaique,CL,-45.5752,-72.0662,11.34,76,75,2.57,18/04/2022
Stornoway,GB,58.2093,-6.3865,8.98,94,100,7.72,18/04/2022
Mâncio Lima,BR,-7.6142,-72.8958,22.23,95,50,1.16,18/04/2022
Tuatapere,NZ,-46.1333,167.6833,16.32,65,86,0.7,18/04/2022
Bonfim,BR,3.0833,-59.95,26.72,61,45,2.68,18/04/2022
Le Mars,US,42.7942,-96.1656,4.87,93,75,1.54,18/04/2022
Tambopata,PE,-12.7333,-69.1833,20.71,85,5,1.55,18/04/2022
Alice Springs,AU,-23.7,133.8833,29.75,26,2,7.2,18/04/2022
Puerto Nariño,CO,-3.7703,-70.3831,23.32,98,99,0.37,18/04/2022
Mandurah,AU,-32.55,115.7,21.62,50,1,2.96,18/04/2022
Sept-Îles,CA,50.2001,-66.3821,2.25,64,100,3.58,18/04/2022
Hobyo,SO,5.3505,48.5268,28.82,73,100,4.86,18/04/2022
Touros,BR,-5.1989,-35.4608,25.84,83,100,2.97,18/04/2022
Cascais,PT,38.6979,-9.4215,15.26,75,37,11.62,18/04/2022
Blythe,US,33.6103,-114.5964,27.25,13,0,0,18/04/2022
Mount Gambier,AU,-37.8333,140.7667,15.55,73,100,3.25,18/04/2022
Jieshi,CN,22.8134,115.8257,22.75,75,99,3.27,18/04/2022
Colares,PT,38.7992,-9.4469,15.16,77,47,11.62,18/04/2022
Baruun-Urt,MN,46.6806,113.2792,16.02,21,1,8.01,18/04/2022
Rawson,AR,-43.3002,-65.1023,16.43,67,19,10.03,18/04/2022
Martapura,ID,-3.4167,114.85,33.05,58,20,3.09,18/04/2022
Kita,ML,13.0349,-9.4895,28.9,29,78,1.78,18/04/2022
Anzio,IT,41.4853,12.6179,9.36,58,57,3.01,18/04/2022
Moose Factory,CA,51.2585,-80.6094,-9.16,93,48,1.34,18/04/2022
Tadine,NC,-21.55,167.8833,26.27,74,100,2.47,18/04/2022
Rome,US,43.2128,-75.4557,0.77,75,0,0.89,18/04/2022
Salinópolis,BR,-0.6136,-47.3561,24.79,90,100,1.38,18/04/2022
Bosaso,SO,11.2842,49.1816,30.08,53,1,2.86,18/04/2022
Kloulklubed,PW,7.0419,134.2556,28.28,72,100,1.94,18/04/2022
Qandala,SO,11.472,49.8728,30.1,55,2,2.81,18/04/2022
Vallenar,CL,-28.5708,-70.7581,15.9,67,0,0.73,18/04/2022
Luganville,VU,-15.5333,167.1667,29.05,70,54,2.74,18/04/2022
Chifeng,CN,42.2683,118.9636,15,19,0,1.95,18/04/2022
Gannan,CN,47.9147,123.5031,14.57,17,79,6.75,18/04/2022
